Code,Product,Category,Pack Size,Price per Pcs (IDR),Price per Box (IDR),Certification
SB-001,Alcho Smokey Barbeque Sauce,Sauces & Bumbu Dasar,20 x 500 Gr,55000,1100000,HALAL MUI
SB-002,Alcho Soy Honey Sauce,Sauces & Bumbu Dasar,20 x 1 Kg,62500,1250000,HALAL MUI
SB-003,Alcho Tako Yaky,Sauces & Bumbu Dasar,20 x 500 Gr,55000,1100000,HALAL MUI
SB-004,Alcho Black Paper Sauce,Sauces & Bumbu Dasar,20 x 500 Gr,51500,1030000,HALAL MUI
BS-001,Alcho Chicken Powder,Bouillon & Seasoning,25 x 1 Kg,72000,1800000,HALAL MUI
BS-002,Alcho Chicken Powder Non MSG,Bouillon & Seasoning,25 x 1 Kg,75000,1875000,HALAL MUI
BS-003,Alcho Beef Powder,Bouillon & Seasoning,25 x 1 Kg,77000,1925000,HALAL MUI
BS-003,Alcho Beef Powder,Bouillon & Seasoning,25 x 500 Gr,32500,812500,HALAL MUI
BS-004,Alcho Beef Powder Non MSG,Bouillon & Seasoning,25 x 1 Kg,80000,2000000,HALAL MUI
BS-005,Alcho Garlic Granule,Bouillon & Seasoning,25 x 1 Kg,75000,1875000,HALAL MUI
BS-005,Alcho Garlic Granule,Bouillon & Seasoning,25 x 500 Gr,37500,937500,HALAL MUI
BS-006,Alcho Tepung Kremes,Bouillon & Seasoning,25 x 1 Kg,34500,862500,HALAL MUI
BS-006,Alcho Tepung Kremes,Bouillon & Seasoning,25 x 500 Gr,17250,431250,HALAL MUI
BS-007,Alcho Barbeque Seasoning,Bouillon & Seasoning,25 x 1 Kg,38000,950000,HALAL MUI
BS-007,Alcho Barbeque Seasoning,Bouillon & Seasoning,25 x 500 Gr,19000,475000,HALAL MUI
BS-008,Alcho Garlic Powder,Bouillon & Seasoning,25 x 1 Kg,52000,1300000,HALAL MUI
BS-008,Alcho Garlic Powder,Bouillon & Seasoning,25 x 500 Gr,26000,650000,HALAL MUI
BS-009,Alcho Chicken Powder BBQ,Bouillon & Seasoning,25 x 1 Kg,47500,1187500,HALAL MUI
BS-009,Alcho Chicken Powder BBQ,Bouillon & Seasoning,25 x 500 Gr,23750,593750,HALAL MUI
