Code,Product,Category,Available Pack Sizes,Halal Certified,Description
SB-001,Alcho Smokey Barbeque Sauce,Sauces & Bumbu Dasar,20 x 500 Gr,Yes,Premium smoky BBQ sauce with rich deep flavor profile.
SB-002,Alcho Soy Honey Sauce,Sauces & Bumbu Dasar,20 x 1 Kg,Yes,Sweet and savory honey soy sauce blend.
SB-003,Alcho Tako Yaky,Sauces & Bumbu Dasar,20 x 500 Gr,Yes,Authentic Takoyaki sauce for professional food service.
SB-004,Alcho Black Paper Sauce,Sauces & Bumbu Dasar,20 x 500 Gr,Yes,Zesty black pepper sauce with a balanced kick.
BS-001,Alcho Chicken Powder,Bouillon & Seasoning,25 x 1 Kg,Yes,Concentrated chicken powder for rich culinary foundations.
BS-002,Alcho Chicken Powder Non MSG,Bouillon & Seasoning,25 x 1 Kg,Yes,Healthy chicken bouillon without MSG.
BS-003,Alcho Beef Powder,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr,Yes,Deep roasted beef flavor powder.
BS-004,Alcho Beef Powder Non MSG,Bouillon & Seasoning,25 x 1 Kg,Yes,Pure beef flavor without MSG.
BS-005,Alcho Garlic Granule,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr,Yes,Premium toasted garlic granules.
BS-006,Alcho Tepung Kremes,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr,Yes,Traditional Indonesian crispy flour mix.
BS-007,Alcho Barbeque Seasoning,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr,Yes,Dry rub BBQ seasoning for meats and poultry.
BS-008,Alcho Garlic Powder,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr,Yes,Finely ground aromatic garlic powder.
BS-009,Alcho Chicken Powder BBQ,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr,Yes,BBQ flavored chicken bouillon.
BS-010,Alcho Bumbu Kuah Bakso,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Authentic Indonesian meatball soup base.
BS-011,Alcho Bumbu Kaldu Sapi,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Concentrated beef stock seasoning.
BS-012,Alcho Bumbu Kuah Ayam,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Concentrated chicken soup seasoning.
BS-013,Alcho Lada Putih,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Premium pure white pepper powder.
BS-014,Alcho Bumbu Kaldu Ayam,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Rich chicken stock bouillon.
BS-015,Alcho Bumbu Kuah Ayam,Bouillon & Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Savory chicken broth seasoning base.
SS-001,Alcho Bumbu Tabur Balado,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Spicy and tangy Balado seasoning for snacks.
SS-002,Alcho Balado Pedas Manis,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Sweet and spicy Balado seasoning.
SS-003,Alcho Jagung Manis,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Sweet corn seasoning for chips and popcorn.
SS-004,Alcho Jagung Bakar,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Roasted corn seasoning with smoky aroma.
SS-005,Alcho Cheese,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Creamy cheddar cheese powder for snacks.
SS-006,Alcho Udang Pedas Manis,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Sweet and spicy shrimp flavored seasoning.
SS-007,Alcho Bumbu Barbeque Manis,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Sweet BBQ seasoning for savory snacks.
SS-008,Alcho Ayam Barbeque,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Chicken BBQ flavored seasoning.
SS-009,Alcho Bumbu Ayam Panggang,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Roasted chicken flavored seasoning.
SS-010,Alcho Rumput Laut,Snack Seasoning,25 x 1 Kg | 25 x 500 Gr | 25 x 250 Gr,Yes,Nori / Seaweed flavored seasoning.
